INT No.,Prod.,National No.,TITLE,South,North,West,East,Date 1st Ed/NE,Scale 1:,Scale Lat,Format,Printer (Nat. No. – Date NE)
,,,,,,,,,,,,
SMALL SCALE INT CHARTS,,,,,,,,,,,,
200,AR,200,Rincón de Cabo Corrientes a Faro Segunda Barranca,-57,-34,-70,-48.5833333333,77/13,3500000,-22.5,,GB (4200 – 10)
201,BR,19300,Costa Sueste da América do Sul,-38.3333333333,-19,-59,-26,73/02,3500000,-22.5,,GB (4201 – 11)
202,BR,19200,Costa Leste da América do Sul (East Coast of South America),-24,-3,-47,-14,75/04,3500000,-22.5,,GB (4202 – 11)
215,BR,19400,Recife to Dakar,-15,18,-37,-14,76/,3500000,-22.5,,GB (4215 – 11)
,,,,,,,,,,,,
COAST OF BRAZIL,,,,,,,,,,,,
2003,BR,21020,De Salinópolis a Fortaleza,-3.8333333333,-2.9166666667,-47.6666666667,-38.0833333333,99/,1000000,-12,,
2004,BR,21030,De Fortaleza a Natal,-6.5,-0.1666666667,-39.3333333333,-29.5,12/,1000000,-12,,
2005,BR,21040,De Natal ao Rio Itariri,-12.3333333333,-5.5833333333,-38,-28,12/,1000000,-12,,
2006,BR,21050,Do Rio Itariri ao Arquipélago dos Abrolhos,-18.3333333333,-11.5833333333,-40,-30,00/,1000000,-12,,
2007,BR,21060,Do Arquipélago dos Abrolhos ao Cabo Frio,-24.3333333333,-17.5833333333,-42.1666666667,-31.3333333333,11/,1000000,-36,,
2108,BR,21500,Da Ponta Boiçucanga à Ilha Mangunça,-1.6666666667,-0.3333333333,-46.75,-43.7833333333,12/,300000,-3.5,,
2109,BR,21600,Da Ilha Maiaú a Tutóia,-2.8333333333,-0.8333333333,-45,-42.0833333333,04/,300000,-3.5,,
2110,BR,21700,De Tutóia à Ponta dos Patos,-3.3333333333,-1.3333333333,-42.4166666667,-39.5,04/,300000,-3.5,,
2111,BR,21800,De Ponta de Itapajé à Fortaleza,-4.3166666667,-1.3333333333,-39.9666666667,-37.9333333333,03/,300000,-3.5,,
2112,BR,21900,Da Ponta Maceió ao Cabo Calcanhar,-5.25,-3.2166666667,-38.1,-35.1333333333,04/,300000,-3.5,,
2113,BR,22000,Atol das Rocas e Arquipélago de Fernando de Noronha,-5,-3,-35.3,-32.3333333333,05/,300000,-3.5,,
2114,BR,22100,Do Cabo Calcanhar a Cabedelo,-7.25,-4.3333333333,-35.5833333333,-33.55,05/,300000,-3.5,,
2115,BR,22200,De Cabedelo a Maceió,-9.9166666667,-6.9166666667,-36,-33.9166666667,05/,300000,-13.5,,
2116,BR,22300,De Maceió a Aracajú,-11.25,-9.5,-37.3333333333,-34.5833333333,13/,300000,-13.5,,
2117,BR,22400,De Aracajú à Ponta Itapuã,-12.9666666667,-10.9,-38.4166666667,-35.4166666667,,300000,-13.5,,
2118,BR,22500,De Salvador à Barra do Poxim,-15.5833333333,-12.6666666667,-39.25,-37.1666666667,,300000,-13.5,,
2119,BR,22600,Da Barra do Poxim a Ponta Cumuruxatiba,-17.3333333333,-15.3333333333,-39.4166666667,-36.4166666667,,300000,-13.5,,
2120,BR,22700,Da Ponta Cumuruxatiba ao Rio São Mateus,-18.8166666667,-16.8333333333,-39.8333333333,-36.8333333333,08/,300000,-13.5,,
2121,BR,22800,De Conceiçáo da Barra a Vitória,-20.4166666667,-18.5,-40.3333333333,-37.4166666667,08/13,300000,-13.5,,
2122,BR,22900,De Vitória ao Cabo de São Tomé,-22.0833333333,-20.1666666667,-41.25,-38.3333333333,09/,300000,-13.5,,
2123,BR,23000,Do Cabo de São Tomé ao Rio de Janeiro,-24,-21.9166666667,-43.35,-40,03/08,300000,-28.6666666667,,
2124,BR,23100,Do Rio de Janeiro a Santos,-24.7833333333,-22.6666666667,-46.3666666667,-43,99/10,300000,-28.6666666667,,
2125,BR,23200,De Santos a Paranaguá,-25.6333333333,-23.75,-48.6333333333,-45.6333333333,10/,300000,-28.6666666667,,
,,,,,,,,,,,,
"SOUTH-WEST ATLANTIC, CENTRAL PART",,,,,,,,,,,,
2008,BR,21070,Do Cabo Frio ao Cabo de Santa Marta Grande,-28.6666666667,-21.8333333333,-49.1666666667,-38.25,98/,1000000,-36,A0,
2009,BR,21080,Do Cabo de Santa Marta Grande ao Arroio Chui,-34.1666666667,-28,-53.8333333333,-43,11/,1000000,-36,A0,
2010,UY/AR,1/H-1,De Arroyo del Chui a Mar del Plata,-40,-33.3333333333,-59,-46.8333333333,(11)/,1000000,-36,A0,
2011,AR,H-2,De Mar del Plata a Faro San Gregorio,-45.1666666667,-37.75,-66,-51.1666666667,,1000000,-54,A0,
2126,BR,23300,De Paranaguá a Imbituba,-28.3333333333,-25.3333333333,-48.9166666667,-46.6166666667,04/,300000,-28.6666666667,A0,
2127,BR,23400,De Imbituba a Pinhal,-29.4166666667,-28,-50.25,-48,09/,300000,-28.6666666667,A0,
2128,BR,23500,De Pinhal ao Rio Grande,-34.2333333333,-32.2166666667,-52.25,-48.9166666667,08/,300000,-28.6666666667,A0,
2129,BR,23600,Do Rio Grande ao Arroio Chuí,-33.9166666667,-32,-53.6666666667,-50.3333333333,10/,300000,-28.6666666667,A0,
2130,UY,38412,De Arroyo del Chui a Punta del Este,-35.8333333333,-33.6666666667,-55.1666666667,-51.3333333333,,300000,-40,A0,
